,idx,lat
0,1.193.219.21192.168.10.1244338300,20541.50
1,101.102.235.201192.168.10.1744340999,21783.85
2,101.201.103.96192.168.10.5100,22140.50
3,101.79.211.140192.168.10.1700,19647.00
4,101.79.211.140192.168.10.1744352505,21233.42
5,103.229.76.153192.168.10.1944343893,20226.87
6,103.229.76.153192.168.10.1944343919,19973.33
7,103.229.76.153192.168.10.1944343933,20365.38
8,103.23.108.110192.168.10.2544350016,20190.53
9,103.3.60.59192.168.10.1400,20538.67
10,103.3.60.59192.168.10.148049853,20658.50
11,103.43.91.20192.168.10.1944346643,20494.88
12,103.58.114.101192.168.10.900,19883.44
13,103.58.114.101192.168.10.944315261,21836.03
14,103.58.114.101192.168.10.944315262,21814.92
15,103.58.114.101192.168.10.944315264,21526.28
16,103.58.114.101192.168.10.944315268,21139.33
17,103.58.114.101192.168.10.944315279,21771.36
18,104.105.78.158192.168.10.128042034,20314.81
19,104.106.246.231192.168.10.1244349134,19956.26
20,104.106.249.194192.168.10.1644356142,20883.31
21,104.106.251.5192.168.10.500,20050.00
22,104.106.251.5192.168.10.544349486,20038.72
23,104.113.62.61192.168.10.1400,20216.00
24,104.113.62.61192.168.10.1444350336,20309.79
25,104.152.141.96192.168.10.900,20449.50
26,104.152.141.96192.168.10.944317061,21668.29
27,104.152.141.99192.168.10.5144358465,20924.30
28,104.152.142.69192.168.10.1244353900,20585.10
29,104.152.142.69192.168.10.1400,19650.00
30,104.152.142.69192.168.10.1444352143,21315.88
31,104.153.64.122192.168.10.2500,19971.00
32,104.153.64.122192.168.10.2544349835,21053.96
33,104.154.127.47192.168.10.800,19501.33
34,104.154.127.47192.168.10.844351119,20733.62
35,104.154.79.29192.168.10.1244333266,20572.00
36,104.155.51.226192.168.10.1744334155,21062.50
37,104.155.51.226192.168.10.1744342368,21306.50
38,104.155.51.226192.168.10.1744360099,20715.50
39,104.16.104.123192.168.10.1500,19501.11
40,104.16.104.123192.168.10.158052811,21278.43
41,104.16.108.18192.168.10.500,19572.00
42,104.16.108.18192.168.10.544350294,20383.11
43,104.16.108.18192.168.10.544351053,20776.30
44,104.16.124.228192.168.10.1200,19819.07
45,104.16.124.228192.168.10.1244344080,21018.43
46,104.16.124.228192.168.10.1700,19061.00
47,104.16.124.228192.168.10.1744359005,20984.00
48,104.16.125.228192.168.10.1700,18816.00
49,104.16.125.228192.168.10.1744360637,20501.40
50,104.16.126.175192.168.10.1700,20084.25
51,104.16.126.175192.168.10.1744360416,21225.39
52,104.16.126.228192.168.10.800,19584.00
53,104.16.126.228192.168.10.844352009,21222.67
54,104.16.127.51192.168.10.1500,19723.55
55,104.16.127.51192.168.10.1544355954,21617.67
56,104.16.127.51192.168.10.1544355957,21813.93
57,104.16.129.65192.168.10.1500,19625.33
58,104.16.129.65192.168.10.158053010,20913.44
59,104.16.129.65192.168.10.158053039,20931.33
60,104.16.130.65192.168.10.1500,20205.33
61,104.16.130.65192.168.10.158053016,21237.55
62,104.16.131.65192.168.10.1500,18881.25
63,104.16.131.65192.168.10.1544353040,20338.95
64,104.16.132.65192.168.10.1500,20019.00
65,104.16.132.65192.168.10.1544353036,20335.53
66,104.16.134.156192.168.10.800,19685.50
67,104.16.134.156192.168.10.844353713,20805.26
68,104.16.134.156192.168.10.844353714,21079.20
69,104.16.134.156192.168.10.844353716,20613.08
70,104.16.15.221192.168.10.2500,19930.60
71,104.16.15.221192.168.10.2544350712,21053.17
72,104.16.16.35192.168.10.900,19917.18
73,104.16.16.35192.168.10.944316574,21519.93
74,104.16.16.35192.168.10.98016705,21351.68
75,104.16.161.13192.168.10.1400,18836.00
76,104.16.161.13192.168.10.148050681,19908.67
77,104.16.161.133192.168.10.1400,19090.50
78,104.16.161.133192.168.10.1444349940,20677.59
79,104.16.17.221192.168.10.2500,19596.28
80,104.16.17.221192.168.10.2544350713,21445.97
81,104.16.17.221192.168.10.2544350714,21642.32
82,104.16.17.221192.168.10.2544350716,21557.75
83,104.16.17.221192.168.10.2544350725,20843.00
84,104.16.17.221192.168.10.2544380,19927.00
85,104.16.17.35192.168.10.1200,19728.00
86,104.16.17.35192.168.10.1244341864,21364.77
87,104.16.18.221192.168.10.2500,20330.00
88,104.16.18.221192.168.10.2544350723,21836.94
89,104.16.18.29192.168.10.1400,19930.48
90,104.16.18.29192.168.10.1444349929,21546.86
91,104.16.187.108192.168.10.1600,20037.50
92,104.16.187.108192.168.10.1644352570,20738.00
93,104.16.188.108192.168.10.1600,20052.50
94,104.16.188.108192.168.10.1644358506,20884.14
95,104.16.19.35192.168.10.1200,20578.50
96,104.16.19.35192.168.10.1244359148,21342.29
97,104.16.19.35192.168.10.1500,19161.50
98,104.16.19.35192.168.10.1544350898,21074.00
99,104.16.19.35192.168.10.1600,19719.44
100,104.16.19.35192.168.10.1644340588,20382.86
101,104.16.19.35192.168.10.168043598,21336.68
102,104.16.2.9192.168.10.500,19694.62
103,104.16.2.9192.168.10.544350325,21327.10
104,104.16.2.9192.168.10.544350326,20173.63
105,104.16.2.9192.168.10.544351280,21129.95
106,104.16.2.9192.168.10.544351281,20718.50
107,104.16.207.165192.168.10.1600,20063.20
108,104.16.207.165192.168.10.1644358888,21347.29
109,104.16.207.165192.168.10.1644358890,20809.71
110,104.16.21.35192.168.10.1600,19861.12
111,104.16.21.35192.168.10.168052234,22300.00
112,104.16.21.35192.168.10.168052236,21450.00
113,104.16.22.11192.168.10.1200,19099.00
114,104.16.22.11192.168.10.1244339644,20216.38
115,104.16.22.11192.168.10.1244339646,21152.88
116,104.16.22.35192.168.10.1500,19528.11
117,104.16.22.35192.168.10.1544354348,21126.69
118,104.16.23.11192.168.10.900,19359.75
119,104.16.23.11192.168.10.944316056,20778.33
120,104.16.23.235192.168.10.1200,20043.50
121,104.16.23.235192.168.10.1244352742,20795.00
122,104.16.23.235192.168.10.1500,19896.33
123,104.16.23.235192.168.10.1544350894,20037.06
124,104.16.23.235192.168.10.1544354444,21146.24
125,104.16.23.235192.168.10.1600,20185.14
126,104.16.23.235192.168.10.168060512,21603.00
127,104.16.23.35192.168.10.900,19838.00
128,104.16.23.35192.168.10.98015137,20349.14
129,104.16.24.216192.168.10.1400,20056.33
130,104.16.24.216192.168.10.148050116,20486.43
131,104.16.24.216192.168.10.1500,19335.33
132,104.16.24.216192.168.10.158052560,20762.33
133,104.16.24.216192.168.10.1600,19173.14
134,104.16.24.216192.168.10.168052728,22218.00
135,104.16.24.216192.168.10.1700,19522.14
136,104.16.24.216192.168.10.178060042,22407.00
137,104.16.24.216192.168.10.1900,20236.00
138,104.16.24.216192.168.10.198052286,22082.00
139,104.16.24.216192.168.10.800,19743.67
140,104.16.24.216192.168.10.88049846,20779.67
141,104.16.24.216192.168.10.88051100,20073.14
142,104.16.24.235192.168.10.1200,19639.71
143,104.16.24.235192.168.10.128059688,21885.50
144,104.16.24.235192.168.10.1700,19904.29
145,104.16.24.235192.168.10.178052530,22525.67
146,104.16.24.235192.168.10.500,19346.00
147,104.16.24.235192.168.10.58051845,20637.83
148,104.16.25.216192.168.10.1200,19792.25
149,104.16.25.216192.168.10.128041484,21310.00
150,104.16.25.216192.168.10.128041724,21332.00
151,104.16.25.216192.168.10.128042796,22714.00
152,104.16.25.216192.168.10.1400,19958.33
153,104.16.25.216192.168.10.148052829,19829.40
154,104.16.25.216192.168.10.1500,19830.00
155,104.16.25.216192.168.10.158054795,20604.00
156,104.16.25.216192.168.10.1700,19704.25
157,104.16.25.216192.168.10.178033228,21561.00
158,104.16.25.216192.168.10.178033229,23678.00
159,104.16.25.216192.168.10.178033230,21253.00
160,104.16.25.216192.168.10.178034312,21369.89
161,104.16.25.216192.168.10.800,19431.80
162,104.16.25.216192.168.10.88053749,20965.62
163,104.16.25.216192.168.10.900,20526.67
164,104.16.25.216192.168.10.98018107,20789.00
165,104.16.25.235192.168.10.1200,19974.14
166,104.16.25.235192.168.10.128040536,21589.50
167,104.16.25.235192.168.10.500,20512.00
168,104.16.25.235192.168.10.58051843,20488.50
169,104.16.26.216192.168.10.1500,18995.33
170,104.16.26.216192.168.10.158054407,20099.80
171,104.16.26.216192.168.10.1600,19660.12
172,104.16.26.216192.168.10.168056952,20728.00
173,104.16.26.216192.168.10.168057430,21421.80
174,104.16.26.235192.168.10.900,19970.25
175,104.16.26.235192.168.10.944316870,20712.33
176,104.16.26.92192.168.10.1700,19983.45
177,104.16.26.92192.168.10.1744347404,20789.37
178,104.16.27.216192.168.10.1200,19564.18
179,104.16.27.216192.168.10.128043620,21013.00
180,104.16.27.216192.168.10.128043622,21142.67
181,104.16.27.216192.168.10.128043624,20912.00
182,104.16.27.216192.168.10.128044558,22974.00
183,104.16.27.216192.168.10.1900,20341.14
184,104.16.27.216192.168.10.198056318,21889.33
185,104.16.27.216192.168.10.900,19485.00
186,104.16.27.216192.168.10.98017665,20557.71
187,104.16.27.235192.168.10.800,19608.33
188,104.16.27.235192.168.10.844352897,21195.29
189,104.16.27.92192.168.10.1700,20030.50
190,104.16.27.92192.168.10.1744334029,20471.50
191,104.16.28.216192.168.10.1400,19781.00
192,104.16.28.216192.168.10.148050813,20630.29
193,104.16.28.216192.168.10.1600,20302.57
194,104.16.28.216192.168.10.168058988,21232.33
195,104.16.28.216192.168.10.1900,20367.00
196,104.16.28.216192.168.10.198060960,21098.00
197,104.16.28.216192.168.10.500,20409.33
198,104.16.28.216192.168.10.58050981,20125.80
199,104.16.28.216192.168.10.800,19551.47
200,104.16.28.216192.168.10.88051701,19775.20
201,104.16.28.216192.168.10.88051703,21858.00
202,104.16.28.216192.168.10.88052997,20742.00
203,104.16.28.216192.168.10.88053177,20123.00
204,104.16.28.216192.168.10.88053178,20517.20
205,104.16.28.216192.168.10.88053179,21659.00
206,104.16.28.216192.168.10.88053180,21580.00
207,104.16.28.216192.168.10.900,19892.67
208,104.16.28.216192.168.10.98014450,19985.43
209,104.16.28.216192.168.10.98015429,19848.80
210,104.16.3.9192.168.10.500,19714.50
211,104.16.3.9192.168.10.544350563,20683.88
212,104.16.31.91192.168.10.1200,19821.50
213,104.16.31.91192.168.10.128057622,21633.31
214,104.16.31.91192.168.10.128057626,22463.00
215,104.16.32.229192.168.10.1200,19719.70
216,104.16.32.229192.168.10.1244337092,21479.87
217,104.16.32.229192.168.10.1244337920,21707.90
218,104.16.32.229192.168.10.1700,19856.33
219,104.16.32.229192.168.10.1744340847,22305.50
220,104.16.32.229192.168.10.1744340848,20324.50
221,104.16.38.83192.168.10.1600,20423.00
222,104.16.38.83192.168.10.168055206,22485.00
223,104.16.40.35192.168.10.1400,19538.43
224,104.16.40.35192.168.10.1444352344,20130.53
225,104.16.40.35192.168.10.1444352348,21906.12
226,104.16.52.4192.168.10.1400,19837.00
227,104.16.52.4192.168.10.148051072,21432.67
228,104.16.52.4192.168.10.1600,19599.50
229,104.16.52.4192.168.10.1644334804,19809.50
230,104.16.52.4192.168.10.1700,20012.64
231,104.16.52.4192.168.10.1744334374,21041.67
232,104.16.52.4192.168.10.178046479,22529.50
233,104.16.52.4192.168.10.178046483,21609.00
234,104.16.52.4192.168.10.800,19535.83
235,104.16.52.4192.168.10.844352758,20892.47
236,104.16.52.4192.168.10.844352809,20225.00
237,104.16.53.4192.168.10.800,19906.33
238,104.16.53.4192.168.10.844350790,20568.38
239,104.16.63.54192.168.10.1600,19915.62
240,104.16.63.54192.168.10.1644355224,20852.38
241,104.16.87.26192.168.10.900,20073.67
242,104.16.87.26192.168.10.98015867,21175.82
243,104.17.152.30192.168.10.1700,20029.67
244,104.17.152.30192.168.10.1744337682,20746.50
245,104.17.231.106192.168.10.1600,19837.43
246,104.17.231.106192.168.10.1644351540,20605.06
247,104.17.241.25192.168.10.1500,19721.14
248,104.17.241.25192.168.10.158051152,21193.97
249,104.17.241.25192.168.10.158051153,21493.01
250,104.17.28.15192.168.10.500,19776.33
251,104.17.28.15192.168.10.544350298,20683.04
252,104.17.30.15192.168.10.500,19061.50
253,104.17.30.15192.168.10.544351262,21002.20
254,104.17.31.15192.168.10.500,20121.00
255,104.17.31.15192.168.10.544351056,21191.00
256,104.17.52.121192.168.10.1500,19791.33
257,104.17.52.121192.168.10.158051176,21223.85
258,104.17.54.121192.168.10.1500,19354.86
259,104.17.54.121192.168.10.158051175,21434.83
260,104.17.54.121192.168.10.158051198,21062.00
261,104.17.56.121192.168.10.1500,19391.22
262,104.17.56.121192.168.10.158051161,21452.32
263,104.17.56.121192.168.10.158051166,21831.27
264,104.17.56.121192.168.10.158051168,21384.31
265,104.19.130.57192.168.10.1200,19661.00
266,104.19.130.57192.168.10.128046968,21733.42
267,104.19.130.57192.168.10.128046972,21468.16
268,104.19.130.57192.168.10.1700,19992.83
269,104.19.130.57192.168.10.1744337187,20730.30
270,104.19.130.57192.168.10.178054140,21669.14
271,104.19.192.102192.168.10.1700,20196.90
272,104.19.192.102192.168.10.1744335493,21309.46
273,104.19.192.102192.168.10.178042582,21122.12
274,104.19.192.102192.168.10.800,19420.75
275,104.19.192.102192.168.10.844351177,21434.17
276,104.19.192.102192.168.10.900,19548.00
277,104.19.192.102192.168.10.944317023,20979.57
278,104.19.192.102192.168.10.944317025,20796.75
279,104.19.193.102192.168.10.1200,19731.86
280,104.19.193.102192.168.10.128044578,21284.50
281,104.19.193.102192.168.10.1500,20133.40
282,104.19.193.102192.168.10.1544352566,20084.25
283,104.19.193.102192.168.10.1600,19701.17
284,104.19.193.102192.168.10.1644348594,20643.62
285,104.19.193.102192.168.10.1700,19969.25
286,104.19.193.102192.168.10.1744344717,21338.63
287,104.19.194.102192.168.10.1500,19380.20
288,104.19.194.102192.168.10.1544350875,20910.50
289,104.19.194.102192.168.10.1544350882,20126.00
290,104.19.194.102192.168.10.1700,19542.75
291,104.19.194.102192.168.10.1744356296,20879.57
292,104.19.195.102192.168.10.1200,19836.60
293,104.19.195.102192.168.10.1244349734,20869.57
294,104.19.195.102192.168.10.128058260,21342.00
295,104.19.195.102192.168.10.1600,19763.83
296,104.19.195.102192.168.10.1644354484,21486.73
297,104.19.195.102192.168.10.168055444,21800.00
298,104.19.195.102192.168.10.2500,20177.67
299,104.19.195.102192.168.10.2544349904,21018.71
300,104.19.196.102192.168.10.1200,19687.40
301,104.19.196.102192.168.10.1244333454,21084.97
302,104.192.108.27192.168.10.900,19943.50
303,104.192.108.27192.168.10.944317663,21687.75
304,104.193.82.52192.168.10.1644338206,20129.38
305,104.193.82.53192.168.10.1644340012,20996.44
306,104.193.82.55192.168.10.1900,19935.00
307,104.193.82.55192.168.10.1944340056,20092.87
308,104.193.83.57192.168.10.1244358464,20991.00
309,104.193.83.57192.168.10.128038684,19987.50
310,104.193.83.57192.168.10.1400,20065.00
311,104.193.83.57192.168.10.1444350058,21890.00
312,104.193.83.57192.168.10.900,20019.00
313,104.193.83.57192.168.10.944314852,21445.60
314,104.193.88.102192.168.10.168049624,20635.00
315,104.193.88.102192.168.10.900,19624.44
316,104.193.88.102192.168.10.98015114,20994.00
317,104.193.88.102192.168.10.98015116,21880.00
318,104.193.88.102192.168.10.98015128,21446.00
319,104.193.88.102192.168.10.98015134,21535.00
320,104.196.114.90192.168.10.900,20009.00
321,104.196.114.90192.168.10.944318363,21930.25
322,104.196.116.189192.168.10.1644345282,21278.50
323,104.196.116.189192.168.10.500,19257.00
324,104.196.116.189192.168.10.544349969,20750.17
325,104.196.116.189192.168.10.900,19356.60
326,104.196.116.189192.168.10.944317815,20536.38
327,104.196.116.189192.168.10.944317816,21112.67
328,104.196.121.139192.168.10.1500,20055.75
329,104.196.121.139192.168.10.1544352037,20173.73
330,104.196.121.139192.168.10.158051372,20366.86
331,104.196.121.139192.168.10.158051990,20187.75
332,104.196.121.139192.168.10.198034855,20584.00
333,104.196.131.150192.168.10.178060432,20058.82
334,104.196.131.150192.168.10.178060433,19890.55
335,104.196.131.150192.168.10.500,19829.40
336,104.196.131.150192.168.10.544349899,20681.48
337,104.196.131.150192.168.10.544350018,21992.50
338,104.196.131.150192.168.10.900,19658.00
339,104.196.131.150192.168.10.944318019,20653.92
340,104.196.137.206192.168.10.1244338482,20186.50
341,104.196.154.29192.168.10.1644338200,21107.38
342,104.196.190.32192.168.10.500,20108.00
343,104.196.190.32192.168.10.544350442,22154.20
344,104.196.190.32192.168.10.800,20463.33
345,104.196.190.32192.168.10.844349993,19998.58
346,104.196.209.138192.168.10.1244356036,19894.00
347,104.196.211.144192.168.10.1500,19457.00
348,104.196.211.144192.168.10.1544353530,20494.86
349,104.196.214.123192.168.10.1244343892,20634.50
350,104.196.214.123192.168.10.128044546,20278.83
351,104.196.214.123192.168.10.5144357973,20394.12
352,104.196.48.127192.168.10.1744335799,20507.65
353,104.196.50.110192.168.10.800,19965.67
354,104.196.50.110192.168.10.844352423,20439.57
355,104.196.63.219192.168.10.128050238,19603.45
356,104.199.123.9192.168.10.258049276,21463.67
357,104.20.0.101192.168.10.1600,19983.05
358,104.20.0.101192.168.10.1644355102,21501.18
359,104.20.0.101192.168.10.900,19651.17
360,104.20.0.101192.168.10.944317465,21646.56
361,104.20.0.101192.168.10.944317842,20646.64
362,104.20.11.37192.168.10.1500,20054.33
363,104.20.11.37192.168.10.1544354492,20797.28
364,104.20.12.130192.168.10.1400,20145.25
365,104.20.12.130192.168.10.1444352601,21328.00
366,104.20.12.130192.168.10.1444352602,21185.71
367,104.20.15.154192.168.10.1600,19510.74
368,104.20.15.154192.168.10.1644350568,21599.22
369,104.20.15.243192.168.10.1200,19658.94
370,104.20.15.243192.168.10.128048420,21517.00
371,104.20.15.243192.168.10.128050352,20238.00
372,104.20.15.243192.168.10.128050406,20617.00
373,104.20.15.243192.168.10.128050746,21067.00
374,104.20.15.243192.168.10.128051454,21201.00
375,104.20.15.243192.168.10.1700,20252.86
376,104.20.15.243192.168.10.178054293,21183.00
377,104.20.182.9192.168.10.1900,20112.83
378,104.20.182.9192.168.10.1944348612,21551.16
379,104.20.19.183192.168.10.1700,19866.60
380,104.20.19.183192.168.10.1744351474,20901.37
381,104.20.21.239192.168.10.2500,19385.33
382,104.20.21.239192.168.10.258049964,21568.75
383,104.20.254.41192.168.10.1500,20093.00
384,104.20.254.41192.168.10.1544350339,21573.00
385,104.20.3.12192.168.10.2500,19597.27
386,104.20.3.12192.168.10.2544351052,20531.00
387,104.20.3.12192.168.10.2544351053,20896.86
388,104.20.3.12192.168.10.2544351057,21490.71
389,104.20.3.47192.168.10.1200,19736.29
390,104.20.3.47192.168.10.128058052,21193.50
391,104.20.31.2192.168.10.1200,19690.04
392,104.20.31.2192.168.10.1244349622,21545.00
393,104.20.31.2192.168.10.1244349660,21559.70
394,104.20.31.2192.168.10.1244349748,21180.50
395,104.20.31.2192.168.10.1244349888,21467.28
396,104.20.50.83192.168.10.1400,19396.50
397,104.20.50.83192.168.10.148051030,20871.00
398,104.20.50.83192.168.10.148051038,20446.83
399,104.20.50.83192.168.10.1700,20117.00
400,104.20.50.83192.168.10.178054134,22010.00
401,104.20.51.83192.168.10.1400,19892.67
402,104.20.51.83192.168.10.148051042,21643.55
403,104.20.51.83192.168.10.1700,19867.00
404,104.20.51.83192.168.10.178033574,21295.00
405,104.20.51.83192.168.10.178033575,21946.00
406,104.20.52.16192.168.10.2500,19646.33
407,104.20.52.16192.168.10.2544351568,21589.00
408,104.20.52.16192.168.10.2544351569,20678.50
409,104.20.57.245192.168.10.1400,19226.50
410,104.20.57.245192.168.10.1444351637,20928.17
411,104.20.57.245192.168.10.800,19763.00
412,104.20.57.245192.168.10.844351651,21328.33
413,104.20.57.245192.168.10.900,19662.20
414,104.20.57.245192.168.10.944314040,20881.50
415,104.20.58.245192.168.10.2500,19398.67
416,104.20.58.245192.168.10.2544350746,21355.32
417,104.20.85.120192.168.10.1600,19722.88
418,104.20.85.120192.168.10.168052708,21069.00
419,104.20.86.184192.168.10.1200,19711.50
420,104.20.86.184192.168.10.1244336854,21258.88
421,104.20.86.184192.168.10.1244336880,21038.43
